,Username,Channel Name,Country,Url,Main topic,Main video category,Likes,Likes Avg.,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
169,gisel_la,gisel_la,FR,https://www.instagram.com/gisel_la,Sports,Sports,1107474383.0,152328.6333,9874,36318320,85,2451.686265,1081229.756,30533.09091,42558.3913,0.003162956,0.002200086
170,eminem,eminem,US,https://www.instagram.com/eminem,Music,Music,586990961.5,1093015.5,649,36182573,84,9202.009259,3104548.173,918847.0,786575.0,0.025279022,0.026890869
171,rkive,rkive,US,https://www.instagram.com/rkive,Gaming,Gaming,1032974929.0,10938709.25,103,36005772,83,0.176470588,3104548.173,0.0,0.0,0.282514251,4.97e-09
173,nattinatasha,nattinatasha,CZ,https://www.instagram.com/nattinatasha,Music,Music,10093152.56,517671.2917,26,35925441,47,2717.19521,1867592.993,492944.0,492944.0,0.01088565,0.01044191
174,mercedesbenz,mercedesbenz,VG,https://www.instagram.com/mercedesbenz,Autos & Vehicles,Autos & Vehicles,1583277041.0,197897.8543,9990,35833928,77,384.908284,358159.5118,50835.53165,58994.36306,0.004442627,0.001817149
175,tigerjackieshroff,tigerjackieshroff,IN,https://www.instagram.com/tigerjackieshroff,Sports,Sports,1753679131.0,1110818.833,2071,35453527,83,6014.289916,2513956.455,451506.57315,350053.0,0.02460982,0.016985624
177,shahidkapoor,shahidkapoor,US,https://www.instagram.com/shahidkapoor,Trailers,Trailers,1203629228.0,1294704.75,1139,35378098,82,5295.665198,3364583.409,795631.25,795631.25,0.034331881,0.025384223
178,kimberly.loaiza,kimberly.loaiza,MX,https://www.instagram.com/kimberly.loaiza,Trailers,Trailers,1145993875.0,2668449.0,586,35190427,78,30747.96629,6499614.012,1414640.333,1605446.0,0.05657788,0.047807968
181,ivetesangalo,ivetesangalo,BR,https://www.instagram.com/ivetesangalo,Shows,Shows,1440246511.0,234006.2143,7555,34714162,84,3542.1835,1314483.795,54630.0,63001.0,0.005720329,0.002189053
182,paollaoliveirareal,paollaoliveirareal,BR,https://www.instagram.com/paollaoliveirareal,Music,Music,1277858735.0,367804.9722,4544,34565086,84,3025.365397,1111841.534,136755.2941,126819.3214,0.008254116,0.005673467
183,lunamaya,lunamaya,BR,https://www.instagram.com/lunamaya,Fashion & Beauty,Fashion & Beauty,442706842.6,145525.506,4035,34486065,83,948.4511819,499199.4531,69638.6875,58397.58065,0.003212612,0.002490953
186,toni.kr8s,toni.kr8s,US,https://www.instagram.com/toni.kr8s,Nonprofits & Activism,Nonprofits & Activism,418010768.3,597179.75,931,34281435,83,2314.913433,1206603.952,671331.3333,481886.2,0.014179845,0.016836517
188,disney,disney,US,https://www.instagram.com/disney,Movies,Movies,1195770920.0,185166.2341,7196,33912535,77,1053.81075,667676.1786,126242.9487,130599.5443,0.005567756,0.00443031
189,shaymitchell,shaymitchell,US,https://www.instagram.com/shaymitchell,Science & Technology,Science & Technology,3597963223.0,754879.925,6292,33777981,83,1958.390516,2085853.596,615270.0,612827.0,0.017073428,0.013127584
190,khabib_nurmagomedov,khabib_nurmagomedov,RU,https://www.instagram.com/khabib_nurmagomedov,Sports,Sports,2603949930.0,693615.5179,4509,33561258,63,5063.583133,2562603.485,209536.8333,399579.3889,0.017385334,0.012053396
191,bmw,bmw,DE,https://www.instagram.com/bmw,Autos & Vehicles,Autos & Vehicles,1738339147.0,232946.5345,9247,33536702,79,587.0275279,450255.3468,76931.96429,84832.54688,0.005627039,0.00297252
192,zidane,zidane,FR,https://www.instagram.com/zidane,Gaming,Gaming,302244322.7,1059596.0,366,33177179,41,6400.40566,1691814.889,999103.0,911822.2857,0.025347222,0.025136138
193,nancyajram,nancyajram,FR,https://www.instagram.com/nancyajram,Music,Music,1152414467.0,391202.1667,3810,33102343,81,3792.208617,1283372.676,132337.6667,146928.1111,0.009285819,0.004341241
194,sonamkapoor,sonamkapoor,IN,https://www.instagram.com/sonamkapoor,Entertainment,Entertainment,991545174.1,264547.2056,4799,33043019,75,868.8948127,757543.6604,153794.3333,237832.4286,0.006285162,0.008842762
196,danbilzerian,danbilzerian,CA,https://www.instagram.com/danbilzerian,Pets & Animals,Pets & Animals,2355851098.0,2044189.0,1372,32938902,84,24680.81319,21036525.38,1079742.0,1079742.0,0.053036463,0.033629333
198,gururandhawa,gururandhawa,US,https://www.instagram.com/gururandhawa,Education,Education,1039639259.0,637758.25,2140,32845959,83,3837.251476,2267250.602,307367.1429,289892.625,0.015256537,0.008365331
